OVO-nummer;Naam;Korte naam;OVO-nummer moeder entiteit;Moeder entiteit
OVO003606;Autonoom gemeentebedrijf Geel
OVO003607;Autonoom Gemeentebedrijf Geraardsbergen
OVO003608;Autonoom Gemeentebedrijf Glabbeek
OVO003609;Autonoom Gemeentebedrijf Grimbergen
OVO003610;Autonoom Gemeentebedrijf Grond- en Bouwbeleid;AGGB
OVO003611;Autonoom Gemeentebedrijf Haacht
OVO003612;Autonoom gemeentebedrijf Halen
OVO003613;Autonoom Gemeentebedrijf Halle
OVO003614;Autonoom gemeentebedrijf Heist-op-den-Berg
OVO003615;Autonoom Gemeentebedrijf Hemiksem
OVO003616;Autonoom Gemeentebedrijf Herentals
OVO003617;Autonoom Gemeentebedrijf Herk-de-Stad
OVO003618;Autonoom Gemeentebedrijf Herne
OVO003619;Autonoom Gemeentebedrijf Herselt
OVO003620;Autonoom Gemeentebedrijf Herzele
OVO003622;Autonoom Gemeentebedrijf Heusden-Zolder
OVO003623;Autonoom Gemeentebedrijf Holar
OVO003624;Autonoom Gemeentebedrijf Infrastructuur Maaseik;AG Infrastructuur Maaseik
OVO003625;Autonoom gemeentebedrijf Kalmthout;AGB Kalmthout
OVO003626;Autonoom Gemeentebedrijf Kapellen
OVO003627;Autonoom Gemeentebedrijf Kaprijke
OVO003628;Autonoom Gemeentebedrijf Kinderdagverblijven en dienst voor Onthaalouders Antwerpen
OVO003629;Autonoom Gemeentebedrijf Kinrooi
OVO003630;Autonoom Gemeentebedrijf Koksijde
OVO003631;Autonoom Gemeentebedrijf Kortenaken
OVO003632;Autonoom Gemeentebedrijf Kunsten en Design
OVO003633;Autonoom Gemeentebedrijf Landen
OVO003634;Autonoom Gemeentebedrijf Lebbeke
OVO003635;Autonoom Gemeentebedrijf Lendelede
OVO003636;Autonoom Gemeentebedrijf Lille
OVO003637;Autonoom Gemeentebedrijf Lommel Patrimonium
OVO003638;Autonoom Gemeentebedrijf Maaseik
OVO003639;Autonoom Gemeentebedrijf Maasmechelen
OVO003640;Autonoom Gemeentebedrijf Maldegem
OVO003641;Autonoom Gemeentebedrijf Mechelen Actief in Cultuur
OVO003642;Autonoom Gemeentebedrijf Meeuwen - Gruitrode
